DO Aql    2424422.00     10.    8.93 0.06    6
DO Aql    2424426.00     14.    8.96 0.06    6
DO Aql    2424430.00     18.    8.79 0.06    7
DO Aql    2424434.00     22.    8.86 0.05    8
DO Aql    2424438.00     26.    8.83 0.09    3
DO Aql    2424442.00     30.    8.76 0.11    2
DO Aql    2424446.00     34.    8.67 0.07    5
DO Aql    2424450.00     38.    8.67 0.07    5
DO Aql    2424454.00     42.    8.62 0.05    9
DO Aql    2424458.00     46.    8.75 0.07    5
DO Aql    2424462.00     50.    8.68 0.11    2
DO Aql    2424466.00     54.    8.68 0.06    6
DO Aql    2424470.00     58.    8.54 0.12    2
DO Aql    2424474.00     62.    8.59 0.07    6
DO Aql    2424482.00     70.    8.64 0.08    4
DO Aql    2424486.00     74.    8.61 0.15    1
DO Aql    2424490.00     78.    8.64 0.07    7
DO Aql    2424494.00     82.    8.78 0.11    2
DO Aql    2424498.00     86.    8.80 0.15    1
DO Aql    2424502.00     90.    8.56 0.15    1
DO Aql    2424506.00     94.    8.64 0.11    2
DO Aql    2424586.00    174.    9.30 0.15    1
DO Aql    2424594.00    182.    8.94 0.15    1
DO Aql    2424646.00    234.    8.55 0.15    1
DO Aql    2424652.00    240.    8.80 0.15    1
DO Aql    2424660.00    248.    8.67 0.15    1
DO Aql    2424668.00    256.    8.95 0.08    4
DO Aql    2424676.00    264.    9.00 0.06    6
DO Aql    2424684.00    272.    9.28 0.09    3
DO Aql    2424692.00    280.    9.50 0.02   10
DO Aql    2424700.00    288.    9.74 0.06   11
DO Aql    2424708.00    296.    9.94 0.03   29
DO Aql    2424716.00    304.   10.11 0.03   28
DO Aql    2424724.00    312.   10.26 0.05    8
DO Aql    2424732.00    320.   10.64 0.04   31
DO Aql    2424740.00    328.   10.62 0.03   26
DO Aql    2424748.00    336.   10.56 0.06    7
DO Aql    2424756.00    344.   10.65 0.06   18
DO Aql    2424764.00    352.   10.44 0.08    5
DO Aql    2424772.00    360.   10.75 0.08   10
DO Aql    2424780.00    368.   10.70 0.15    1
DO Aql    2424788.00    376.   10.68 0.04   12
DO Aql    2424796.00    384.   10.41 0.07    5
DO Aql    2424804.00    392.   10.59 0.15    1
DO Aql    2424820.00    408.   10.65 0.15    1
DO Aql    2424828.00    416.   10.47 0.06    6
DO Aql    2424852.00    440.   10.67 0.15    1
DO Aql    2424860.00    448.   10.48 0.12    2
DO Aql    2424952.00    540.   10.35 0.15    1
DO Aql    2424984.00    572.   10.68 0.15    1
DO Aql    2425000.00    588.   10.83 0.15    1
DO Aql    2425016.00    604.   10.71 0.15    1
DO Aql    2425032.00    620.   10.60 0.10    4
DO Aql    2425048.00    636.   10.74 0.08    4
DO Aql    2425064.00    652.   10.47 0.15    1
DO Aql    2425080.00    668.   10.45 0.15    1
DO Aql    2425096.00    684.   10.72 0.08    5
DO Aql    2425112.00    700.   10.83 0.06    6
DO Aql    2425128.00    716.   10.67 0.10    5
DO Aql    2425144.00    732.   10.84 0.08    6
DO Aql    2425160.00    748.   10.79 0.09    3
DO Aql    2425176.00    764.   10.88 0.09    3
DO Aql    2425192.00    780.   10.78 0.15    1
DO Aql    2425208.00    796.   11.14 0.11    2
DO Aql    2425224.00    812.   11.03 0.15    1
DO Aql    2425368.00    956.   11.49 0.15    1
DO Aql    2425384.00    972.   11.59 0.11    2
DO Aql    2425400.00    988.   11.66 0.11    2
DO Aql    2425416.00   1004.   11.61 0.11    2
DO Aql    2425464.00   1052.   11.76 0.15    1
DO Aql    2425480.00   1068.   11.81 0.09    3
DO Aql    2425496.00   1084.   11.85 0.07    5
DO Aql    2425512.00   1100.   11.85 0.11    2
DO Aql    2425528.00   1116.   11.86 0.08    4
DO Aql    2425560.00   1148.   11.88 0.11    2
DO Aql    2425576.00   1164.   11.99 0.15    1
DO Aql    2425728.00   1316.   15.23 0.15    1
DO Aql    2455168.00  30756.   18.02 0.11    2
V356 Aql  2428399.50      1.5   8.80 0.15    1
V356 Aql  2428403.50      5.5   7.95 0.15    1
V356 Aql  2428416.50     18.5   8.80 0.15    1
V356 Aql  2428419.50     21.5   8.25 0.15    1
V356 Aql  2428420.50     22.5   7.85 0.15    1
V356 Aql  2428421.50     23.5   7.90 0.15    1
V356 Aql  2428422.50     24.5   7.70 0.15    1
V356 Aql  2428425.50     27.5   7.53 0.11    2
V356 Aql  2428427.50     29.5   8.00 0.15    1
V356 Aql  2428429.50     31.5   8.50 0.15    1
V356 Aql  2428432.50     34.5   8.80 0.15    1
V356 Aql  2428433.50     35.5   8.10 0.09    3
V356 Aql  2428434.50     36.5   8.49 0.13    6
V356 Aql  2428435.50     37.5   8.51 0.06    6
V356 Aql  2428436.50     38.5   8.40 0.17    3
V356 Aql  2428437.50     39.5   8.40 0.09    5
V356 Aql  2428438.50     40.5   8.55 0.11    2
V356 Aql  2428439.50     41.5   7.69 0.06    6
V356 Aql  2428440.50     42.5   7.50 0.09    3
V356 Aql  2428441.50     43.5   7.75 0.11    2
V356 Aql  2428442.50     44.5   7.28 0.13    6
V356 Aql  2428443.50     45.5   7.15 0.07    5
V356 Aql  2428444.50     46.5   6.97 0.10    6
V356 Aql  2428445.50     47.5   7.11 0.09   11
V356 Aql  2428446.50     48.5   7.26 0.13    9
V356 Aql  2428447.50     49.5   7.61 0.13   10
V356 Aql  2428448.50     50.5   8.00 0.22    6
V356 Aql  2428449.50     51.5   8.51 0.18    8
V356 Aql  2428450.50     52.5   8.53 0.12   13
V356 Aql  2428451.50     53.5   8.50 0.17    3
V356 Aql  2428452.50     54.5   8.26 0.11   10
V356 Aql  2428453.50     55.5   8.50 0.09    3
V356 Aql  2428454.50     56.5   8.61 0.16    9
V356 Aql  2428455.50     57.5   8.04 0.15    5
V356 Aql  2428456.50     58.5   7.90 0.10    5
V356 Aql  2428457.50     59.5   8.30 0.10    7
V356 Aql  2428458.50     60.5   8.37 0.09    3
V356 Aql  2428459.50     61.5   8.35 0.08    4
V356 Aql  2428460.50     62.5   8.05 0.06    6
V356 Aql  2428461.50     63.5   8.14 0.08    5
V356 Aql  2428462.50     64.5   8.08 0.13    6
V356 Aql  2428463.50     65.5   8.62 0.07    5
V356 Aql  2428464.50     66.5   8.50 0.11    2
V356 Aql  2428465.50     67.5   8.40 0.14    2
V356 Aql  2428466.50     68.5   8.16 0.13    5
V356 Aql  2428467.50     69.5   7.93 0.14    3
V356 Aql  2428469.50     71.5   7.37 0.27    3
V356 Aql  2428470.50     72.5   7.80 0.11    2
V356 Aql  2428471.50     73.5   7.55 0.15    4
V356 Aql  2428472.50     74.5   7.55 0.11    2
V356 Aql  2428473.50     75.5   7.60 0.10    6
V356 Aql  2428474.50     76.5   7.80 0.14    2
V356 Aql  2428475.50     77.5   7.60 0.09    4
V356 Aql  2428476.50     78.5   7.70 0.14    3
V356 Aql  2428477.50     79.5   8.00 0.12    3
V356 Aql  2428478.50     80.5   7.91 0.10    7
V356 Aql  2428479.50     81.5   8.25 0.18    2
V356 Aql  2428480.50     82.5   8.90 0.15    1
V356 Aql  2428481.50     83.5   8.98 0.08    4
V356 Aql  2428482.50     84.5   8.06 0.13    5
V356 Aql  2428483.50     85.5   8.33 0.15    4
V356 Aql  2428484.50     86.5   7.80 0.11    4
V356 Aql  2428485.50     87.5   8.03 0.06    6
V356 Aql  2428486.50     88.5   8.58 0.20    4
V356 Aql  2428487.50     89.5   8.37 0.10    3
V356 Aql  2428489.50     91.5   8.83 0.09    3
V356 Aql  2428490.50     92.5   8.12 0.17    5
V356 Aql  2428491.50     93.5   7.65 0.18    2
V356 Aql  2428493.50     95.5   7.80 0.14    2
V356 Aql  2428494.50     96.5   8.15 0.11    2
V356 Aql  2428495.50     97.5   8.16 0.13    5
V356 Aql  2428496.50     98.5   8.20 0.15    1
V356 Aql  2428497.50     99.5   7.95 0.08    4
V356 Aql  2428498.50    100.5   7.80 0.14    2
V356 Aql  2428499.50    101.5   7.60 0.15    1
V356 Aql  2428500.50    102.5   8.45 0.11    2
V356 Aql  2428501.50    103.5   8.30 0.15    1
V356 Aql  2428502.50    104.5   8.60 0.13    4
V356 Aql  2428503.50    105.5   8.40 0.11    2
V356 Aql  2428504.50    106.5   8.45 0.11    2
V356 Aql  2428505.50    107.5   8.70 0.15    1
V356 Aql  2428506.50    108.5   8.63 0.15    3
V356 Aql  2428507.50    109.5   8.30 0.15    1
V356 Aql  2428508.50    110.5   8.50 0.11    2
V356 Aql  2428509.50    111.5   8.20 0.15    1
V356 Aql  2428510.50    112.5   9.05 0.11    2
V356 Aql  2428511.50    113.5   8.97 0.09    3
V356 Aql  2428513.50    115.5   8.90 0.15    1
V356 Aql  2428514.50    116.5   9.03 0.15    3
V356 Aql  2428515.50    117.5   8.80 0.15    1
V356 Aql  2428516.50    118.5   8.90 0.09    3
V356 Aql  2428517.50    119.5   8.50 0.25    3
V356 Aql  2428518.50    120.5   8.60 0.15    1
V356 Aql  2428520.50    122.5   9.00 0.11    2
V356 Aql  2428521.50    123.5   8.90 0.21    2
V356 Aql  2428522.50    124.5   9.50 0.15    1
V356 Aql  2428524.50    126.5   8.60 0.15    1
V356 Aql  2428525.50    127.5   9.25 0.11    2
V356 Aql  2428582.00    184.   10.00 0.11    2
V356 Aql  2428598.00    200.   10.30 0.15    1
V356 Aql  2428606.00    208.   10.60 0.15    1
V356 Aql  2428670.00    272.   10.80 0.15    1
V356 Aql  2428694.00    296.   11.00 0.11    2
V356 Aql  2428718.00    320.   11.50 0.15    1
V356 Aql  2428726.00    328.   11.50 0.11    2
V356 Aql  2428742.00    344.   10.80 0.15    1
V356 Aql  2428750.00    352.   11.03 0.19    3
V356 Aql  2428758.00    360.   10.80 0.15    1
V356 Aql  2428774.00    376.   11.40 0.15    1
V356 Aql  2428790.00    392.   11.50 0.15    1
V356 Aql  2428798.00    400.   11.80 0.15    1
V356 Aql  2428806.00    408.   12.20 0.15    1
V356 Aql  2428830.00    432.   12.03 0.31    3
V356 Aql  2428838.00    440.   11.75 0.11    2
V356 Aql  2428846.00    448.   11.65 0.11    2
V356 Aql  2428862.00    464.   12.00 0.15    1
V356 Aql  2428870.00    472.   11.80 0.15    1
